,Sample Age,Library Name,NovaSeq alignment directory
0,5 wks,Puck_220930_18,2023-01-24_Puck_220930_18
1,5 wks,Puck_220930_20,2023-01-24_Puck_220930_20
2,5 wks,Puck_220930_22,2023-01-24_Puck_220930_22
3,7wks,Puck_220930_23,2023-01-24_Puck_220930_23
4,7wks,Puck_220930_28,2023-01-24_Puck_220930_28
5,32wks,Puck_220930_29,2022-12-16_Puck_220930_29_trunc
6,32wks,Puck_220930_32,2022-11-04_Puck_220930_32
7,32wks,Puck_220930_35,2023-01-24_Puck_220930_35
8,90wks,Puck_220930_37,2022-12-16_Puck_220930_37_trunc
9,90wks,Puck_220930_38,2022-12-16_Puck_220930_38_trunc
10,10 day,Puck_221006_22,2022-12-16_Puck_221006_22_trunc
11,10 day,Puck_221006_23,2023-01-24_Puck_221006_23
12,15wks,Puck_221006_24,2022-11-04_Puck_221006_24
13,15wks,Puck_221006_26,2022-12-16_Puck_221006_26_trunc
14,28wks,Puck_221006_35,2022-12-16_Puck_221006_35_trunc
15,28wks,Puck_221006_29,2022-11-04_Puck_221006_29
16,68 wks,Puck_221006_32,2023-01-24_Puck_221006_32
17,13 wks,Puck_221011_12,2023-01-24_Puck_221011_12
18,13 wks,Puck_221011_13,2023-01-24_Puck_221011_13
19,68 wks,Puck_221011_19,2022-12-16_Puck_221011_19_trunc
20,68 wks,Puck_221011_20,2022-12-16_Puck_221011_20_trunc
21,13 day,Puck_221011_32,2022-12-16_Puck_221011_32_trunc
22,13 day,Puck_221011_33,2022-12-16_Puck_221011_33_trunc
23,9 wks,Puck_221011_37,2023-01-24_Puck_221011_37
24,9 wks,Puck_221011_39,2023-01-24_Puck_221011_39
25,48 wks,Puck_221014_37,2023-01-24_Puck_221014_37
26,48 wks,Puck_221019_03,2023-01-24_Puck_221019_03
27,5 day,Puck_221019_05,2023-01-24_Puck_221019_05
28,5 day,Puck_221019_08,2023-01-24_Puck_221019_08
29,7 day,Puck_221019_10,2023-01-24_Puck_221019_10
30,7 day,Puck_221019_14,2023-01-24_Puck_221019_14
31,0 day,Puck_221024_23,2023-01-24_Puck_221024_23
32,0 day,Puck_221024_24,2022-11-23_Puck_221024_24
33,1 day,Puck_221024_27,2023-01-16_Puck_221024_27
34,1 day,Puck_221024_31,2022-11-23_Puck_221024_31
35,2 day,Puck_221024_33,2023-01-24_Puck_221024_33
36,2 day,Puck_221024_34,2022-11-23_Puck_221024_34
37,2 day,Puck_221024_36,2023-01-24_Puck_221024_36
38,3 day,Puck_221024_37,2023-01-24_Puck_221024_37
39,3 day,Puck_221024_38,2022-11-23_Puck_221024_38
40,3 day,Puck_221024_39,2023-01-24_Puck_221024_39
41,4 day,Puck_221103_09,2023-01-24_Puck_221103_09
42,4 day,Puck_221103_12,2023-01-24_Puck_221103_12
43,3wks,Puck_221118_39,2023-01-24_Puck_221118_39
44,3wks,Puck_221118_38,2023-01-24_Puck_221118_38
45,4 wks,Puck_221118_40,2023-01-24_Puck_221118_40
46,4 wks,Puck_221103_22,2023-01-24_Puck_221103_22
